graph,representation,metric,value_average,value_median
grafo_3,list,distance_10_30,-1.0,-1.0
grafo_3,list,distance_20_30,-1.0,-1.0
grafo_3,list,component_count,2.0,2.0
grafo_3,list,component_largest,250000.0,250000.0
grafo_3,list,component_smallest,125000.0,125000.0
grafo_3,list,diameter_approx,14.0,14.0
grafo_4,matrix,skipped,1.0,1.0
grafo_4,list,memory_mb_raw,130.9375,130.9375
grafo_4,list,memory_mb_baseline,1.375,1.375
grafo_4,list,memory_mb_graph,129.5625,129.5625
grafo_4,list,bfs_micros,51002.8,57654.0
grafo_4,list,dfs_micros,71063.6,79276.5
grafo_4,list,bfs_parent_s1_t10,243865.0,243865.0
grafo_4,list,dfs_parent_s1_t10,12269.0,12269.0
grafo_4,list,bfs_parent_s1_t20,370783.0,370783.0
grafo_4,list,dfs_parent_s1_t20,10738.0,10738.0
grafo_4,list,bfs_parent_s1_t30,136244.0,136244.0
grafo_4,list,dfs_parent_s1_t30,1531.0,1531.0
grafo_4,list,bfs_parent_s2_t10,0.0,0.0
grafo_4,list,dfs_parent_s2_t10,0.0,0.0
grafo_4,list,bfs_parent_s2_t20,0.0,0.0
grafo_4,list,dfs_parent_s2_t20,0.0,0.0
grafo_4,list,bfs_parent_s2_t30,0.0,0.0
grafo_4,list,dfs_parent_s2_t30,0.0,0.0
grafo_4,list,bfs_parent_s3_t10,0.0,0.0
grafo_4,list,dfs_parent_s3_t10,0.0,0.0
grafo_4,list,bfs_parent_s3_t20,0.0,0.0
grafo_4,list,dfs_parent_s3_t20,0.0,0.0
grafo_4,list,bfs_parent_s3_t30,0.0,0.0
grafo_4,list,dfs_parent_s3_t30,0.0,0.0
grafo_4,list,distance_10_20,4.0,4.0
grafo_4,list,distance_10_30,3.0,3.0
grafo_4,list,distance_20_30,4.0,4.0
grafo_4,list,component_count,2.0,2.0
grafo_4,list,component_largest,250000.0,250000.0
grafo_4,list,component_smallest,125000.0,125000.0
grafo_4,list,diameter_approx,4.0,4.0
grafo_5,matrix,skipped,1.0,1.0
grafo_5,list,memory_mb_raw,278.28125,278.28125
grafo_5,list,memory_mb_baseline,1.375,1.375
grafo_5,list,memory_mb_graph,276.90625,276.90625
grafo_5,list,bfs_micros,294705.0,254050.0
grafo_5,list,dfs_micros,444015.0,403271.0
grafo_5,list,bfs_parent_s1_t10,1888350.0,1888350.0
grafo_5,list,dfs_parent_s1_t10,1888350.0,1888350.0
grafo_5,list,bfs_parent_s1_t20,0.0,0.0
grafo_5,list,dfs_parent_s1_t20,0.0,0.0
grafo_5,list,bfs_parent_s1_t30,2502539.0,2502539.0
grafo_5,list,dfs_parent_s1_t30,191713.0,191713.0
grafo_5,list,bfs_parent_s2_t10,0.0,0.0
grafo_5,list,dfs_parent_s2_t10,0.0,0.0
grafo_5,list,bfs_parent_s2_t20,0.0,0.0
grafo_5,list,dfs_parent_s2_t20,0.0,0.0
grafo_5,list,bfs_parent_s2_t30,0.0,0.0
grafo_5,list,dfs_parent_s2_t30,0.0,0.0
grafo_5,list,bfs_parent_s3_t10,1888350.0,1888350.0
grafo_5,list,dfs_parent_s3_t10,1888350.0,1888350.0
grafo_5,list,bfs_parent_s3_t20,0.0,0.0
grafo_5,list,dfs_parent_s3_t20,0.0,0.0
grafo_5,list,bfs_parent_s3_t30,191713.0,191713.0
grafo_5,list,dfs_parent_s3_t30,2502539.0,2502539.0
grafo_5,list,distance_10_20,-1.0,-1.0
grafo_5,list,distance_10_30,9.0,9.0
grafo_5,list,distance_20_30,-1.0,-1.0
grafo_5,list,component_count,5.0,5.0
grafo_5,list,component_largest,2500000.0,2500000.0
grafo_5,list,component_smallest,156250.0,156250.0
grafo_5,list,diameter_approx,11.0,11.0
grafo_6,matrix,skipped,1.0,1.0
grafo_6,list,memory_mb_raw,745.796875,745.796875
grafo_6,list,memory_mb_baseline,1.375,1.375
grafo_6,list,memory_mb_graph,744.421875,744.421875
grafo_6,list,bfs_micros,422947.0,283488.0
grafo_6,list,dfs_micros,560673.0,388163.0
grafo_6,list,bfs_parent_s1_t10,0.0,0.0
grafo_6,list,dfs_parent_s1_t10,0.0,0.0
grafo_6,list,bfs_parent_s1_t20,0.0,0.0
grafo_6,list,dfs_parent_s1_t20,0.0,0.0
grafo_6,list,bfs_parent_s1_t30,0.0,0.0
grafo_6,list,dfs_parent_s1_t30,0.0,0.0
grafo_6,list,bfs_parent_s2_t10,1677854.0,1677854.0
grafo_6,list,dfs_parent_s2_t10,381031.0,381031.0
grafo_6,list,bfs_parent_s2_t20,3607226.0,3607226.0
grafo_6,list,dfs_parent_s2_t20,431008.0,431008.0
grafo_6,list,bfs_parent_s2_t30,3898629.0,3898629.0
grafo_6,list,dfs_parent_s2_t30,446011.0,446011.0
grafo_6,list,bfs_parent_s3_t10,0.0,0.0
grafo_6,list,dfs_parent_s3_t10,0.0,0.0
grafo_6,list,bfs_parent_s3_t20,0.0,0.0
grafo_6,list,dfs_parent_s3_t20,0.0,0.0
grafo_6,list,bfs_parent_s3_t30,0.0,0.0
grafo_6,list,dfs_parent_s3_t30,0.0,0.0
grafo_6,list,distance_10_20,5.0,5.0
grafo_6,list,distance_10_30,5.0,5.0
grafo_6,list,distance_20_30,5.0,5.0
grafo_6,list,component_count,5.0,5.0
grafo_6,list,component_largest,2500000.0,2500000.0
grafo_6,list,component_smallest,156250.0,156250.0
grafo_6,list,diameter_approx,6.0,6.0
